Generator,Generator Type,Region,"ISP 
sub-region",REZ Location,Fuel/Technology type,Maximum Capacity (MW),2023-34 Summer Rating (MW),2024 Not Summer Rating (MW),Maintenance duration (%),Maximum Capacity Factor (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat Rate (GJ/MWh HHV s.o.),2023-24 Step Change Fuel Cost ($/GJ),Emissions (kg/MWh),MLF,Auxiliary Load (%),SRMC ($/MWh),Expected Retirement Year
Braemar,OCGT,QLD,SQ,N/A,OCGT,549,501,543,1.37,N/A,15.9,11.05,11.88,9.04,600,0.96,0.72,118.47,2046
Braemar 2 Power Station,OCGT,QLD,SQ,N/A,OCGT,519,480,519,1.37,N/A,15.9,11.05,11.88,9.04,600,0.96,0.72,118.47,2049
Mackay GT,OCGT,QLD,CNQ,N/A,Liquid Fuel,34,0,0,1.37,N/A,15.9,11.05,12.72,36.72,"1,592",0.95,0.64,478.17,2021
Mt Stuart,OCGT,QLD,CNQ,N/A,Liquid Fuel,424,387,400,1.37,N/A,15.9,11.05,11.88,36.72,"1,042",0.93,0.64,447.34,2033
Oakey Power Station,OCGT,QLD,SQ,N/A,OCGT,346,288,346,1.37,N/A,15.9,11.05,10.94,9.04,705,0.95,0.72,109.98,2050
Roma,OCGT,QLD,SQ,N/A,OCGT,80,54,68,1.37,N/A,15.9,11.05,11.88,9.04,640,0.97,0.72,118.47,2034
Port Lincoln GT,OCGT,SA,SA,N/A,Liquid Fuel,74,56,74,1.37,N/A,15.9,11.73,12.81,36.72,"1,620",0.95,0.64,482.18,2030
Snuggery,OCGT,SA,SA,N/A,Liquid Fuel,63,54,63,1.37,N/A,15.9,11.73,13.43,36.72,"1,436",0.95,0.64,505,2030
Dry Creek GT,OCGT,SA,SA,N/A,OCGT,156,112,143,1.37,N/A,15.9,11.05,13.69,11.08,"1,037",1,0.72,162.7,2030
Hallett GT,OCGT,SA,SA,N/A,OCGT,277,223,249,1.37,N/A,15.9,11.05,14.88,11.08,857,0.96,0.72,175.86,2032
Ladbroke Grove,OCGT,SA,SA,N/A,OCGT,80,70,84,1.37,N/A,15.9,11.05,11.88,11.08,505,0.99,0.72,142.68,2035
Mintaro GT,OCGT,SA,SA,N/A,OCGT,90,68,90,1.37,N/A,15.9,11.05,12.72,11.08,778,0.99,0.72,151.99,2030
Quarantine,OCGT,SA,SA,N/A,OCGT,229,195,236,1.37,N/A,15.9,11.05,10.71,11.08,704,0.99,0.72,129.76,2053
Temporary Generation South,OCGT,SA,SA,N/A,Liquid Fuel,246,0,0,1.37,N/A,13.06,4.25,10.19,36.72,532,1,0.64,378.43,2045
Bell Bay Three,OCGT,TAS,TAS,N/A,OCGT,120,105,105,1.37,N/A,15.9,11.05,12.04,12.62,516,1,0.72,163.01,2040
Tamar Valley Peaking,OCGT,TAS,TAS,N/A,OCGT,58,58,58,1.37,N/A,15.9,11.05,12.72,12.62,516,1,0.72,171.6,2050
Somerton,OCGT,VIC,VIC,N/A,OCGT,170,140,170,1.37,N/A,15.9,11.05,14.88,11.3,701,0.99,0.72,179.1,2033
Bairnsdale,OCGT,VIC,VIC,N/A,OCGT,94,60,84,1.37,N/A,15.9,11.05,10.5,11.3,548,0.99,0.72,129.61,2042
Jeeralang A,OCGT,VIC,VIC,N/A,OCGT,212,186,222,1.37,N/A,15.9,11.05,15.25,11.3,755,0.98,0.72,183.37,2039
Jeeralang B,OCGT,VIC,VIC,N/A,OCGT,228,213,257,1.37,N/A,15.9,11.05,15.25,11.3,755,0.98,0.72,183.37,2039
Laverton North,OCGT,VIC,VIC,N/A,OCGT,312,319,344,1.37,N/A,15.9,11.05,11.5,11.3,597,0.99,0.72,140.98,2070
Mortlake,OCGT,VIC,VIC,N/A,OCGT,584,514,584,1.37,N/A,15.9,11.05,11.15,10.99,550,0.99,0.72,133.49,2047
Valley Power,OCGT,VIC,VIC,N/A,OCGT,300,285,336,1.37,N/A,15.9,11.05,14.88,11.3,814,0.98,0.72,179.1,2070
Torrens Island A,Gas-powered steam turbine,SA,SA,N/A,Gas-powered steam turbine,240,0,0,0.68,N/A,49.46,2.44,11.43,10.87,580,1,5.08,126.69,2021
Torrens Island B,Gas-powered steam turbine,SA,SA,N/A,Gas-powered steam turbine,800,585,600,0.68,N/A,49.46,2.44,10.71,10.87,580,1,5.08,118.93,2035
Newport,Gas-powered steam turbine,VIC,VIC,N/A,Gas-powered steam turbine,500,475,510,0.68,N/A,49.46,2.44,10.29,11.3,535,0.99,5.08,118.63,2039
Angaston,Reciprocating Engine,SA,SA,N/A,Liquid Fuel,50,49,49,1.64,N/A,15.87,11.05,12.78,36.72,690,1,0.64,480.16,2070
Barker Inlet Power Station,Reciprocating Engine,SA,SA,N/A,OCGT,210,205,210,1.64,N/A,15.87,11.05,7.89,10.98,442,1,0.72,97.7,2044
Lonsdale,Reciprocating Engine,SA,SA,N/A,Liquid Fuel,21,21,21,1.64,N/A,15.87,11.73,7.89,36.72,674,1.01,0.64,301.63,2070
Port Stanvac 1,Reciprocating Engine,SA,SA,N/A,Liquid Fuel,58,65,65,1.64,N/A,15.87,11.73,7.89,36.72,674,1.01,0.64,301.63,2070
Blowering,Hydro,NSW,SNSW,N/A,Hydro,80,70,70,0.27,N/A,61.14,7.55,,,,0.94,0.34,7.55,2070
Guthega,Hydro,NSW,SNSW,N/A,Hydro,60,68,68,0.27,N/A,61.14,7.55,,,,0.9,0.34,7.55,2070
Hume Dam NSW,Hydro,NSW,SNSW,N/A,Hydro,29,29,0,0.27,N/A,61.14,7.55,,,,0.9,0.34,7.55,2057
Shoalhaven,Hydro,NSW,CNSW,N/A,Hydro,240,240,240,0.27,N/A,61.14,7.55,,,,0.98,0.34,7.55,2100
Upper Tumut,Hydro,NSW,SNSW,N/A,Hydro,616,674,674,0.27,N/A,61.14,7.55,,,,0.93,0.34,7.55,2070
Tumut 3,Hydro,NSW,SNSW,N/A,Hydro,"1,500","1,800","1,800",0.27,N/A,61.14,7.55,,,,0.92,0.34,7.55,2070
Barron Gorge,Hydro,QLD,CNQ,N/A,Hydro,66,66,66,0.27,N/A,61.14,7.55,,,,0.98,0.34,7.55,2042
Kareeya,Hydro,QLD,CNQ,N/A,Hydro,86,86,86,0.27,N/A,61.14,7.55,,,,0.97,0.34,7.55,2037
Wivenhoe,Hydro,QLD,SQ,N/A,Hydro,570,570,570,0.27,N/A,61.14,7.55,,,,0.99,0.34,7.55,2084
Bastyan,Hydro,TAS,TAS,N/A,Hydro,80,81,81,0.27,N/A,61.14,7.55,,,,0.93,0.34,7.55,2100
Catagunya / Liapootah / Wayatinah,Hydro,TAS,TAS,N/A,Hydro,177,174,174,0.27,N/A,61.14,7.55,,,,0.98,0.34,7.55,2100
Cethana,Hydro,TAS,TAS,N/A,Hydro,85,95,95,0.27,N/A,61.14,7.55,,,,0.95,0.34,7.55,2100
Devils Gate,Hydro,TAS,TAS,N/A,Hydro,60,63,63,0.27,N/A,61.14,7.55,,,,0.96,0.34,7.55,2100
Fisher,Hydro,TAS,TAS,N/A,Hydro,43,46,46,0.27,N/A,61.14,7.55,,,,0.96,0.34,7.55,2100
Gordon,Hydro,TAS,TAS,N/A,Hydro,432,252,378,0.27,N/A,61.14,7.55,,,,0.93,0.34,7.55,2100
John Butters,Hydro,TAS,TAS,N/A,Hydro,144,140,140,0.27,N/A,61.14,7.55,,,,0.93,0.34,7.55,2100
Lake Echo,Hydro,TAS,TAS,N/A,Hydro,32,30,0,0.27,N/A,61.14,7.55,,,,0.91,0.34,7.55,2100
Lemonthyme / Wilmot,Hydro,TAS,TAS,N/A,Hydro,82,88,87,0.27,N/A,61.14,7.55,,,,0.96,0.34,7.55,2100
Mackintosh,Hydro,TAS,TAS,N/A,Hydro,80,81,81,0.27,N/A,61.14,7.55,,,,0.92,0.34,7.55,2100
Meadowbank,Hydro,TAS,TAS,N/A,Hydro,40,44,44,0.27,N/A,61.14,7.55,,,,0.98,0.34,7.55,2100
Poatina,Hydro,TAS,TAS,N/A,Hydro,300,285,285,0.27,N/A,61.14,7.55,,,,0.95,0.34,7.55,2100
Reece,Hydro,TAS,TAS,N/A,Hydro,231,232,232,0.27,N/A,61.14,7.55,,,,0.92,0.34,7.55,2100
Tarraleah,Hydro,TAS,TAS,N/A,Hydro,90,70,72,0.27,N/A,61.14,7.55,,,,0.91,0.34,7.55,2100
Trevallyn,Hydro,TAS,TAS,N/A,Hydro,93,70,100,0.27,N/A,61.14,7.55,,,,0.98,0.34,7.55,2100
Tribute,Hydro,TAS,TAS,N/A,Hydro,83,88,88,0.27,N/A,61.14,7.55,,,,0.91,0.34,7.55,2100
Tungatinah,Hydro,TAS,TAS,N/A,Hydro,125,130,130,0.27,N/A,61.14,7.55,,,,0.89,0.34,7.55,2100
Bogong / MacKay,Hydro,VIC,VIC,N/A,Hydro,300,300,300,0.27,N/A,61.14,7.55,,,,0.97,0.34,7.55,2057
Dartmouth,Hydro,VIC,VIC,N/A,Hydro,185,170,170,0.27,N/A,61.14,7.55,,,,0.99,0.34,7.55,2057
Eildon,Hydro,VIC,VIC,N/A,Hydro,135,120,120,0.27,N/A,61.14,7.55,,,,1,0.34,7.55,2057
Hume Dam VIC,Hydro,VIC,VIC,N/A,Hydro,29,29,0,0.27,N/A,61.14,7.55,,,,0.99,0.34,7.55,2057
Murray 1,Hydro,VIC,VIC,N/A,Hydro,950,950,760,0.27,N/A,61.14,7.55,,,,1,0.34,7.55,2070
Murray 2,Hydro,VIC,VIC,N/A,Hydro,552,600,600,0.27,N/A,61.14,7.55,,,,1,0.34,7.55,2070
West Kiewa,Hydro,VIC,VIC,N/A,Hydro,68,68,68,0.27,N/A,61.14,7.55,,,,1.01,0.34,7.55,2057
Beryl Solar Farm,Large scale Solar PV,NSW,CNSW,Central-West Orana,Solar,98,87,87,0,N/A,17.61,0,,,,0.92,0.2,,2049
Bomen Solar Farm,Large scale Solar PV,NSW,SNSW,Wagga Wagga,Solar,121,94,100,0,N/A,17.61,0,,,,0.89,0.2,,2050
Broken Hill Solar Farm,Large scale Solar PV,NSW,SNSW,Broken Hill,Solar,53,53,53,0,N/A,17.61,0,,,,0.8,0.2,,2043
Coleambally Solar Farm,Large scale Solar PV,NSW,SNSW,South West NSW,Solar,150,150,150,0,N/A,17.61,0,,,,0.85,0.2,,2038
Darlington Point Solar Farm,Large scale Solar PV,NSW,SNSW,South West NSW,Solar,275,263,275,0,N/A,17.61,0,,,,0.86,0.2,,2055
Finley Solar Farm,Large scale Solar PV,NSW,SNSW,South West NSW,Solar,162,117,133,0,N/A,17.61,0,,,,0.84,0.2,,2049
Goonumbla Solar Farm,Large scale Solar PV,NSW,CNSW,Central-West Orana,Solar,70,68,70,0,N/A,17.61,0,,,,0.89,0.2,,2050
Gullen Range Solar Farm,Large scale Solar PV,NSW,SNSW,N/A,Solar,10,10,10,0,N/A,17.61,0,,,,0.96,0.2,,2100
Limondale Solar Farm 1,Large scale Solar PV,NSW,SNSW,South West NSW,Solar,220,207,220,0,N/A,17.61,0,,,,0.81,0.2,,2050
Limondale Solar Farm 2,Large scale Solar PV,NSW,SNSW,South West NSW,Solar,29,29,29,0,N/A,17.61,0,,,,0.8,0.2,,2050
Manildra Solar Farm,Large scale Solar PV,NSW,CNSW,Central-West Orana,Solar,50,47,47,0,N/A,17.61,0,,,,0.93,0.2,,2048
Molong Solar Farm,Large scale Solar PV,NSW,CNSW,Central-West Orana,Solar,36,32,32,0,N/A,17.61,0,,,,0.95,0.2,,2051
Moree Solar Farm,Large scale Solar PV,NSW,NNSW,North West NSW,Solar,56,56,56,0,N/A,17.61,0,,,,0.89,0.2,,2046
Nevertire Solar Farm,Large scale Solar PV,NSW,CNSW,Central-West Orana,Solar,105,105,105,0,N/A,17.61,0,,,,0.94,0.2,,2049
Nyngan Solar Plant,Large scale Solar PV,NSW,CNSW,Central-West Orana,Solar,102,102,102,0,N/A,17.61,0,,,,0.99,0.2,,2042
Parkes Solar Farm,Large scale Solar PV,NSW,CNSW,N/A,Solar,51,51,51,0,N/A,17.61,0,,,,0.89,0.2,,2058
Sunraysia Solar Farm,Large scale Solar PV,NSW,SNSW,South West NSW,Solar,229,200,165,0,N/A,17.61,0,,,,0.81,0.2,,2049
White Rock Solar Farm,Large scale Solar PV,NSW,NNSW,New England,Solar,20,20,20,0,N/A,17.61,0,,,,0.87,0.2,,2043
Childers Solar Farm,Large scale Solar PV,QLD,SQ,Wide Bay,Solar,56,56,56,0,N/A,17.61,0,,,,0.98,0.2,,2049
Clare Solar Farm,Large scale Solar PV,QLD,CNQ,Northern Qld,Solar,110,95,100,0,N/A,17.61,0,,,,0.92,0.2,,2047
Clermont Solar Farm,Large scale Solar PV,QLD,CNQ,Isaac,Solar,93,71,75,0,N/A,17.61,0,,,,0.93,0.2,,2049
Collinsville Solar Farm,Large scale Solar PV,QLD,CNQ,Isaac,Solar,43,40,43,0,N/A,17.61,0,,,,0.92,0.2,,2044
Darling Downs Solar Farm,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,121,109,110,0,N/A,17.61,0,,,,0.98,0.2,,2036
Daydream Solar Farm,Large scale Solar PV,QLD,CNQ,Isaac,Solar,168,146,150,0,N/A,17.61,0,,,,0.93,0.2,,2048
Emerald Solar Farm,Large scale Solar PV,QLD,CNQ,N/A,Solar,72,0,0,0,N/A,17.61,0,,,,0.92,0.2,,2048
Hamilton Solar Farm,Large scale Solar PV,QLD,CNQ,Isaac,Solar,58,54,56,0,N/A,17.61,0,,,,0.92,0.2,,2048
Haughton Solar Farm,Large scale Solar PV,QLD,CNQ,Northern Qld,Solar,133,100,100,0,N/A,17.61,0,,,,0.94,0.2,,2049
Hayman Solar Farm,Large scale Solar PV,QLD,CNQ,Isaac,Solar,58,48,50,0,N/A,17.61,0,,,,0.93,0.2,,2048
Hughenden Solar Farm,Large scale Solar PV,QLD,CNQ,North Qld Clean Energy Hub,Solar,18,18,18,0,N/A,17.61,0,,,,0.94,0.2,,2048
Kidston Solar Farm,Large scale Solar PV,QLD,CNQ,North Qld Clean Energy Hub,Solar,50,49,49,0,N/A,17.61,0,,,,0.94,0.2,,2037
Lilyvale Solar Farm,Large scale Solar PV,QLD,CNQ,Isaac,Solar,118,98,100,0,N/A,17.61,0,,,,0.93,0.2,,2048
Longreach Solar Farm,Large scale Solar PV,QLD,CNQ,Barcaldine,Solar,14,14,14,0,N/A,17.61,0,,,,0.93,0.2,,2043
Middlemount Sun Farm,Large scale Solar PV,QLD,CNQ,Isaac,Solar,26,26,26,0,N/A,17.61,0,,,,0.92,0.2,,2050
Oakey 1 Solar Farm,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,25,23,25,0,N/A,17.61,0,,,,0.97,0.2,,2043
Oakey 2 Solar Farm,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,56,52,55,0,N/A,17.61,0,,,,0.97,0.2,,2044
Ross River Solar Farm,Large scale Solar PV,QLD,CNQ,Northern Qld,Solar,128,116,116,0,N/A,17.61,0,,,,0.94,0.2,,2043
Rugby Run Solar Farm,Large scale Solar PV,QLD,CNQ,Isaac,Solar,65,65,65,0,N/A,17.61,0,,,,0.92,0.2,,2049
Sun Metals Corporation Solar Farm,Large scale Solar PV,QLD,CNQ,Northern Qld,Solar,143,120,120,0,N/A,17.61,0,,,,1,0.2,,2042
Susan River Solar Farm,Large scale Solar PV,QLD,SQ,Wide Bay,Solar,85,75,75,0,N/A,17.61,0,,,,0.98,0.2,,2049
Whitsunday Solar Farm,Large scale Solar PV,QLD,CNQ,Isaac,Solar,58,54,56,0,N/A,17.61,0,,,,0.92,0.2,,2048
Yarranlea Solar Farm,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,103,103,103,0,N/A,17.61,0,,,,0.98,0.2,,2044
Bungala one Solar Farm,Large scale Solar PV,SA,SA,Northern SA,Solar,135,102,108,0,N/A,17.61,0,,,,0.96,0.2,,2044
Bungala Two Solar Farm,Large scale Solar PV,SA,SA,Northern SA,Solar,135,102,108,0,N/A,17.61,0,,,,0.96,0.2,,2044
Tailem Bend Solar Farm,Large scale Solar PV,SA,SA,South East SA,Solar,108,95,95,0,N/A,17.61,0,,,,1.01,0.2,,2049
Bannerton Solar Farm,Large scale Solar PV,VIC,VIC,Murray River,Solar,100,88,88,0,N/A,17.61,0,,,,0.86,0.2,,2049
Gannawarra Solar Farm,Large scale Solar PV,VIC,VIC,Murray River,Solar,55,48,50,0,N/A,17.61,0,,,,0.91,0.2,,2048
Glenrowan West Solar Farm,Large scale Solar PV,VIC,VIC,Central North Vic,Solar,132,103,110,0,N/A,17.61,0,,,,1,0.2,,2051
Karadoc Solar Farm,Large scale Solar PV,VIC,VIC,Murray River,Solar,103,90,90,0,N/A,17.61,0,,,,0.87,0.2,,2048
Kiamal Solar Farm stage 1,Large scale Solar PV,VIC,VIC,Murray River,Solar,200,190,200,0,N/A,17.61,0,,,,0.85,0.2,,2049
Numurkah Solar Farm,Large scale Solar PV,VIC,VIC,Central North Vic,Solar,110,108,108,0,N/A,17.61,0,,,,1,0.2,,2044
Wemen Solar Farm,Large scale Solar PV,VIC,VIC,Murray River,Solar,98,82,88,0,N/A,17.61,0,,,,0.86,0.2,,2049
Yatpool Solar Farm,Large scale Solar PV,VIC,VIC,Murray River,Solar,93,81,81,0,N/A,17.61,0,,,,0.87,0.2,,2050
Bango 973 Wind Farm,Wind,NSW,SNSW,N/A,Wind,159,0,159,0,N/A,25.92,0,,,,0.91,0.28,,2050
Boco Rock Wind Farm,Wind,NSW,SNSW,Cooma-Monaro,Wind,113,104,113,0,N/A,25.92,0,,,,0.94,0.28,,2040
Bodangora Wind Farm,Wind,NSW,CNSW,Central-West Orana,Wind,113,113,113,0,N/A,25.92,0,,,,0.96,0.28,,2049
Capital Wind Farm,Wind,NSW,SNSW,N/A,Wind,141,141,141,0,N/A,25.92,0,,,,0.96,0.28,,2040
Collector Wind Farm,Wind,NSW,SNSW,N/A,Wind,227,0,0,0,N/A,25.92,0,,,,0.96,0.28,,2046
Crookwell 2 Wind Farm,Wind,NSW,SNSW,N/A,Wind,96,91,91,0,N/A,25.92,0,,,,0.96,0.28,,2043
Crudine Ridge Wind Farm,Wind,NSW,CNSW,N/A,Wind,138,0,138,0,N/A,25.92,0,,,,0.92,0.28,,2041
Cullerin Range Wind Farm,Wind,NSW,SNSW,N/A,Wind,30,30,30,0,N/A,25.92,0,,,,0.91,0.28,,2038
Gullen Range Wind Farm,Wind,NSW,SNSW,N/A,Wind,166,166,166,0,N/A,25.92,0,,,,0.96,0.28,,2100
Gunning Wind Farm,Wind,NSW,SNSW,N/A,Wind,47,47,47,0,N/A,25.92,0,,,,0.91,0.28,,2036
Sapphire Wind Farm,Wind,NSW,NNSW,New England,Wind,270,156,270,0,N/A,25.92,0,,,,0.94,0.28,,2043
Silverton Wind Farm,Wind,NSW,SNSW,Broken Hill,Wind,199,119,198,0,N/A,25.92,0,,,,0.85,0.28,,2043
Taralga Wind Farm,Wind,NSW,CNSW,N/A,Wind,107,107,107,0,N/A,25.92,0,,,,1.01,0.28,,2040
White Rock Wind Farm - Stage 1,Wind,NSW,NNSW,New England,Wind,172,172,172,0,N/A,25.92,0,,,,0.87,0.28,,2038
Woodlawn Wind Farm,Wind,NSW,SNSW,N/A,Wind,48,48,48,0,N/A,25.92,0,,,,0.96,0.28,,2041
Coopers Gap Wind Farm,Wind,QLD,SQ,Darling Downs,Wind,453,440,440,0,N/A,25.92,0,,,,0.97,0.28,,2044
Mount Emerald Wind Farm,Wind,QLD,CNQ,Far North QLD,Wind,181,167,180,0,N/A,25.92,0,,,,0.98,0.28,,2043
Canunda Wind Farm,Wind,SA,SA,South East SA,Wind,46,46,46,0,N/A,25.92,0,,,,0.99,0.28,,2030
Cathedral Rocks Wind Farm,Wind,SA,SA,Eastern Eyre Peninsula,Wind,66,66,66,0,N/A,25.92,0,,,,0.92,0.28,,2030
Clements Gap Wind Farm,Wind,SA,SA,Mid-North SA,Wind,57,57,57,0,N/A,25.92,0,,,,0.96,0.28,,2039
Hallett Stage 1 Brown Hill Wind Farm,Wind,SA,SA,Mid-North SA,Wind,95,63,95,0,N/A,25.92,0,,,,0.96,0.28,,2043
Hallett Stage 2 Hallett Hill Wind Farm,Wind,SA,SA,Mid-North SA,Wind,71,48,71,0,N/A,25.92,0,,,,0.96,0.28,,2035
Hallett 4 North Brown Hill Wind Farm,Wind,SA,SA,Mid-North SA,Wind,132,88,132,0,N/A,25.92,0,,,,0.96,0.28,,2036
Hallett 5 The Bluff Wind Farm,Wind,SA,SA,Mid-North SA,Wind,53,35,53,0,N/A,25.92,0,,,,0.96,0.28,,2036
Hornsdale Wind Farm Stage 1,Wind,SA,SA,Mid-North SA,Wind,102,100,100,0,N/A,25.92,0,,,,0.95,0.28,,2056
Hornsdale Wind Farm Stage 2,Wind,SA,SA,Mid-North SA,Wind,102,100,100,0,N/A,25.92,0,,,,0.95,0.28,,2057
Hornsdale Wind Farm Stage 3,Wind,SA,SA,Mid-North SA,Wind,112,109,109,0,N/A,25.92,0,,,,0.95,0.28,,2057
Lake Bonney 1 Wind Farm,Wind,SA,SA,South East SA,Wind,81,81,81,0,N/A,25.92,0,,,,0.98,0.28,,2035
Lake Bonney 2 Wind Farm,Wind,SA,SA,South East SA,Wind,159,159,159,0,N/A,25.92,0,,,,0.98,0.28,,2038
Lake Bonney 3 Wind Farm,Wind,SA,SA,South East SA,Wind,39,39,39,0,N/A,25.92,0,,,,0.98,0.28,,2040
Lincoln Gap Wind Farm - stage 1,Wind,SA,SA,Northern SA,Wind,126,126,126,0,N/A,25.92,0,,,,0.97,0.28,,2045
Mount Millar Wind Farm,Wind,SA,SA,Eastern Eyre Peninsula,Wind,70,70,70,0,N/A,25.92,0,,,,0.93,0.28,,2035
Snowtown Wind Farm,Wind,SA,SA,Mid-North SA,Wind,99,66,99,0,N/A,25.92,0,,,,0.91,0.28,,2033
Snowtown S2 Wind Farm - North,Wind,SA,SA,Mid-North SA,Wind,144,133,144,0,N/A,25.92,0,,,,0.97,0.28,,2039
